country,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
EU,172712.7,180054.9,195021.9,205233.9,215184.4,107134.5,137928,224985.8,256576.8,279246.3
United States,19005.3,19224.8,20449.9,22631.2,25062.2,5503.1,8934.2,25186.5,32881.4,35793.1
China (Including Hong Kong),9458.4,8654.3,9617.3,10812.7,10347.5,2592.1,1915,2837.5,4431.5,5469.3
Japan,3901.4,3234.1,3392.8,3494.4,3573.5,934.4,413.2,1265.5,2446.2,2695.3
India,1435.7,1433.6,1610.8,1471.7,1641.7,473.3,630,1194.2,1821.9,2098.4
